Statistiche Fantacalcio 2021-22 Italia ;;;;;;;;;;;;;;;;
Id;R;Nome;Squadra;Pg;Mv;Mf;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
390;D;GHOULAM;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
392;D;KOULIBALY;Napoli;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
393;D;LUPERTO;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
400;C;DEZI;Venezia;1;6;6;0;0;0;0;0;0;0;0;0;0
406;C;CALLEJON;Fiorentina;1;6;6;0;0;0;0;0;0;0;0;0;0
407;A;GABBIADINI;Sampdoria;1;6;5,5;0;0;0;0;0;0;0;1;0;0
409;A;INSIGNE;Napoli;1;6,5;6,5;0;0;0;2;1;1;0;0;0;0
410;A;MERTENS;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
418;D;GOLDANIGA;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
434;C;JAJALO;Udinese;1;0;0;0;0;0;0;0;0;0;0;0;0
441;A;BELOTTI;Torino;1;7;10;1;0;0;0;0;0;0;0;0;0
447;A;LA GUMINA;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
453;P;SZCZESNY;Juventus;1;4;1,5;0;2;0;0;0;0;0;1;0;0
454;D;CAPRADOSSI;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0
459;D;MANOLAS;Napoli;1;6;6;0;0;0;0;0;0;0;0;0;0
460;D;ROMAGNOLI;Milan;1;0;0;0;0;0;0;0;0;0;0;0;0
464;D;FLORENZI;Milan;1;0;0;0;0;0;0;0;0;0;0;0;0
467;C;NAINGGOLAN;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
470;C;STROOTMAN;Cagliari;1;6;5,5;0;0;0;0;0;0;0;1;0;0
472;A;DESTRO;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
475;A;IAGO FALQUE;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
479;A;SANABRIA;Torino;1;6;6;0;0;0;0;0;0;0;0;0;0
481;P;BRIGNOLI;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
487;D;DE SILVESTRI;Bologna;1;8;14;2;0;0;0;0;0;0;0;0;0
495;A;CORREA;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
505;A;BONAZZOLI;Salernitana;1;7;10;0;0;0;1;1;0;0;0;0;0
507;A;MURIEL;Atalanta;1;7;10;1;0;0;0;0;0;0;0;0;0
509;P;CONSIGLI;Sassuolo;1;6;4;0;2;0;0;0;0;0;0;0;0
510;P;PEGOLO;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
513;D;ACERBI;Lazio;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
521;D;PELUSO;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
526;C;DUNCAN;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
528;C;MAGNANELLI;Sassuolo;1;0;0;0;0;0;0;0;0;0;0;0;0
530;C;PELLEGRINI LO.;Roma;1;7;6,5;0;0;0;0;0;0;0;1;0;0
531;A;BERARDI;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
536;A;POLITANO;Napoli;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
537;A;SANSONE;Bologna;1;6,5;7;0;0;0;0;0;0;1;1;0;0
543;P;PADELLI;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
551;D;MOLINARO;Venezia;1;5;5;0;0;0;0;0;0;0;0;0;0
556;C;BASELLI;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
557;C;BENASSI;Fiorentina;1;6;6;0;0;0;0;0;0;0;0;0;0
560;C;OBI;Salernitana;1;0;0;0;0;0;0;0;0;0;0;0;0
568;A;QUAGLIARELLA;Sampdoria;1;6;6;0;0;0;0;0;0;0;0;0;0
572;P;MERET;Napoli;1;6;6;0;0;0;0;0;0;0;0;0;0
574;P;SCUFFET;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
581;D;FARAONI;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
600;C;VERRE;Sampdoria;1;6;6;0;0;0;0;0;0;0;0;0;0
608;A;ZAPATA D.;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
630;D;SALA;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0
632;C;ZACCAGNI;Verona;1;7,5;13,5;1;0;0;1;1;0;0;0;0;0
633;D;FARES;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
640;D;CHIRICHES;Sassuolo;1;6;6;0;0;0;0;0;0;0;0;0;0
643;A;DEFREL;Sassuolo;1;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;Fiorentina;1;6;6,5;0;0;0;0;0;0;1;1;0;0
645;C;MILINKOVIC-SAVIC;Lazio;1;7,5;11,5;1;0;0;0;0;0;1;0;0;0
647;A;DZEKO;Inter;1;7,5;11,5;1;0;0;0;0;0;1;0;0;0
652;A;KALINIC;Verona;1;5;5;0;0;0;0;0;0;0;0;0;0
660;D;GYOMBER;Salernitana;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
662;D;ALEX SANDRO;Juventus;1;6;6;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
697;D;CUADRADO;Juventus;1;7;10;1;0;0;0;0;0;0;0;0;0
704;C;PERISIC;Inter;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
706;D;ANSALDI;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
720;P;BELEC;Salernitana;1;6;3;0;3;0;0;0;0;0;0;0;0
758;D;MANTOVANI;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
761;P;AUDERO;Sampdoria;1;5,5;4,5;0;1;0;0;0;0;0;0;0;0
770;D;PEZZELLA GIU.;Atalanta;1;6;6;0;0;0;0;0;0;0;0;0;0
779;C;CRISTANTE;Roma;1;6;6;0;0;0;0;0;0;0;0;0;0
785;A;IMMOBILE;Lazio;1;7;10;0;0;0;1;1;0;0;0;0;0
787;D;DJIMSITI;Atalanta;1;6;6;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
790;D;SAMIR;Udinese;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
791;D;SABELLI;Genoa;1;6;6;0;0;0;0;0;0;0;0;0;0
795;A;EL SHAARAWY;Roma;1;0;0;0;0;0;0;0;0;0;0;0;0
798;D;SKRINIAR;Inter;1;7,5;10,5;1;0;0;0;0;0;0;0;0;0
799;P;BARDI;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
801;C;GAGLIARDINI;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
805;D;FIAMOZZI;Empoli;1;0;0;0;0;0;0;0;0;0;0;0;0
819;A;FAVILLI;Genoa;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
827;C;LOCATELLI;Juventus;1;0;0;0;0;0;0;0;0;0;0;0;0
1839;A;EDERA;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
1843;P;RADU I.;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
1847;D;CALDARA;Venezia;1;5;4,5;0;0;0;0;0;0;0;1;0;0
1850;C;KESSIE';Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
1852;D;SPINAZZOLA;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
1866;D;CEPPITELLI;Cagliari;1;6;6;0;0;0;0;0;0;0;0;0;0
1868;D;MURRU;Sampdoria;1;6;5,5;0;0;0;0;0;0;0;1;0;0
1870;C;BARELLA;Inter;1;7;8;0;0;0;0;0;0;1;0;0;0
1871;C;DEIOLA;Cagliari;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
1874;A;JOAO PEDRO;Cagliari;1;7,5;13,5;1;0;0;1;1;0;0;0;0;0
1879;A;FARIAS;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
1889;P;CORDAZ;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
1891;D;CECCHERINI;Verona;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
1895;D;FERRARI G.;Sassuolo;1;6;6;0;0;0;0;0;0;0;0;0;0
1917;P;DRAGOWSKI;Fiorentina;1;4,5;3,5;0;0;0;0;0;0;0;0;1;0
1930;P;PINSOGLIO;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
1933;C;MANDRAGORA;Torino;1;6;6;0;0;0;0;0;0;0;0;0;0
1934;P;STRAKOSHA;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
1943;A;NESTOROVSKI;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
1946;P;ARESTI;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
1947;P;FIORILLO;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
1958;A;CAPRARI;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
1978;C;SENSI;Inter;1;6;6;0;0;0;0;0;0;0;0;0;0
1980;C;ARAMU;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
1987;C;JANKTO;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
1995;C;DJURICIC;Sassuolo;1;7,5;11;1;0;0;0;0;0;1;1;0;0
1997;A;SIMY;Salernitana;1;6;6;0;0;0;0;0;0;0;0;0;0
1998;A;PJACA;Torino;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2002;C;CHIESA;Juventus;1;6;6;0;0;0;0;0;0;0;0;0;0
2006;D;LIROLA;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;C;LINETTY;Torino;1;6;6;0;0;0;0;0;0;0;0;0;0
2009;C;LUKIC;Torino;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2011;C;MIGUEL VELOSO;Verona;1;4,5;3,5;0;0;0;0;0;0;0;0;1;0
2038;A;PINAMONTI;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
2061;A;SIMEONE;Cagliari;1;0;0;0;0;0;0;0;0;0;0;0;0
2064;D;VESELI;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
2076;C;ROG;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
2077;C;PASALIC;Atalanta;1;6,5;7,5;0;0;0;0;0;0;1;0;0;0
2083;D;BIRASCHI;Genoa;1;5;5;0;0;0;0;0;0;0;0;0;0
2085;C;LUIS ALBERTO;Lazio;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2091;P;PLIZZARI;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
2104;D;BERESZYNSKI;Sampdoria;1;6;5,5;0;0;0;0;0;0;0;1;0;0
2116;D;FARAGO';Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
2117;C;KASTANOS;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
2119;A;DEULOFEU;Udinese;1;7;10;1;0;0;0;0;0;0;0;0;0
2120;D;BASTONI;Inter;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
2121;C;MELEGONI;Genoa;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2127;P;SATALINO;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
2130;D;HATEBOER;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
2134;P;FALCONE;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
2137;A;SCAMACCA;Sassuolo;1;0;0;0;0;0;0;0;0;0;0;0;0
2141;D;DEPAOLI;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
2144;C;COULIBALY M.;Salernitana;1;7;10;1;0;0;0;0;0;0;0;0;0
2154;C;VIGNATO;Bologna;1;6;6;0;0;0;0;0;0;0;0;0;0
2155;A;CUTRONE;Empoli;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2160;D;GOSENS;Atalanta;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2161;C;HAAS;Empoli;1;6;6;0;0;0;0;0;0;0;0;0;0
2164;D;MILENKOVIC;Fiorentina;1;6,5;9,5;1;0;0;0;0;0;0;0;0;0
2166;C;BENTANCUR;Juventus;1;6,5;7,5;0;0;0;0;0;0;1;0;0;0
2167;C;ORSOLINI;Bologna;1;6;7;0;0;0;0;0;0;1;0;0;0
2169;D;RODRIGUEZ R.;Torino;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2170;P;MILINKOVIC-SAVIC V.;Torino;1;6;4;0;2;0;0;0;0;0;0;0;0
2171;D;LYANCO;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
2172;C;BARAK;Verona;1;6;6;0;0;0;0;0;0;0;0;0;0
2174;D;VENUTI;Fiorentina;1;5;5;0;0;0;0;0;0;0;0;0;0
2178;P;CRAGNO;Cagliari;1;5,5;3,5;0;2;0;0;0;0;0;0;0;0
2179;P;SIRIGU;Genoa;1;6;2;0;4;0;0;0;0;0;0;0;0
2180;D;KARSDORP;Roma;1;6;6;0;0;0;0;0;0;0;0;0;0
2181;D;PALOMINO;Atalanta;1;7;7;0;0;0;0;0;0;0;0;0;0
2188;D;MARUSIC;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
2192;D;BONIFAZI;Bologna;1;5,5;5;0;0;0;0;0;0;0;1;0;0
2194;C;CALHANOGLU;Inter;1;7,5;11,5;1;0;0;0;0;0;1;0;0;0
2195;A;OUNAS;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
2206;D;FELICIOLI;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
2208;D;JAROSZYNSKI;Salernitana;1;5;4,5;0;0;0;0;0;0;0;1;0;0
2209;C;LUCAS LEIVA;Lazio;1;6;5,5;0;0;0;0;0;0;0;1;0;0
2211;P;SILVESTRI;Udinese;1;6;4;0;2;0;0;0;0;0;0;0;0
2213;C;CASSATA;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
2214;D;KOLAROV;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
2215;C;VERETOUT;Roma;1;8;14;2;0;0;0;0;0;0;0;0;0
2252;D;MARCHIZZA;Empoli;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2253;C;BANDINELLI;Empoli;1;7;10;1;0;0;0;0;0;0;0;0;0
2263;D;LAZZARI;Lazio;1;6,5;9,5;1;0;0;0;0;0;0;0;0;0
2279;D;ROMAGNA;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
2280;D;NUYTINCK;Udinese;1;5;5;0;0;0;0;0;0;0;0;0;0
2284;A;CAICEDO;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
2285;D;BANI;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
2286;C;CROCIATA;Empoli;1;6;6;0;0;0;0;0;0;0;0;0;0
2289;D;DALBERT;Cagliari;1;6;6;0;0;0;0;0;0;0;0;0;0
2296;D;MANCINI;Roma;1;6;6;0;0;0;0;0;0;0;0;0;0
2297;P;ROSSI F.;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
2302;C;BEHRAMI;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
2304;A;SALCEDO E.;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
2309;D;PEZZELLA GER.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2312;D;HRISTOV;Spezia;1;6;6;0;0;0;0;0;0;0;0;0;0
2315;D;STRYGER LARSEN;Udinese;1;6;6;0;0;0;0;0;0;0;0;0;0
2318;D;ROGERIO;Sassuolo;1;6;6;0;0;0;0;0;0;0;0;0;0
2328;D;VANHEUSDEN;Genoa;1;5;5;0;0;0;0;0;0;0;0;0;0
2334;C;LERIS;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
2335;D;LUIZ FELIPE;Lazio;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
2379;C;RABIOT;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
2391;C;EKDAL;Sampdoria;1;6;6;0;0;0;0;0;0;0;0;0;0
2392;C;WALACE;Udinese;1;5,5;5;0;0;0;0;0;0;0;1;0;0
2414;C;VIDAL;Inter;1;7;11;1;0;0;0;0;0;1;0;0;0
2453;D;NASTASIC;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2468;P;OSPINA;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
2472;C;RAMSEY;Juventus;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2475;A;SANCHEZ;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
2489;A;PEDRO;Lazio;1;6;6;0;0;0;0;0;0;0;0;0;0
2525;D;DARMIAN;Inter;1;6;6;0;0;0;0;0;0;0;0;0;0
2529;C;MKHITARYAN;Roma;1;7;10;1;0;0;0;0;0;0;0;0;0
2530;A;IBRAHIMOVIC;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
2531;A;LUKAKU;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
2544;A;ABRAHAM;Roma;1;7,5;9,5;0;0;0;0;0;0;2;0;0;0
2572;D;GODIN;Cagliari;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2610;A;RONALDO;Juventus;1;6;5,5;0;0;0;0;0;0;0;1;0;0
2625;C;SORIANO;Bologna;1;4,5;3,5;0;0;0;0;0;0;0;0;1;0
2633;D;KJAER;Milan;1;6,5;6;0;0;0;0;0;0;0;1;0;0
2653;D;LYKOGIANNIS;Cagliari;1;0;0;0;0;0;0;0;0;0;0;0;0
2692;C;CASTILLEJO;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
2703;C;ADRIEN SILVA;Sampdoria;1;0;0;0;0;0;0;0;0;0;0;0;0
2719;A;BARROW;Bologna;1;5;5;0;0;0;0;0;0;0;0;0;0
2724;D;BUONGIORNO;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
2728;D;PELLEGRINI LU.;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
2739;D;RECA;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
2741;C;PESSINA;Atalanta;1;6;6;0;0;0;0;0;0;0;0;0;0
2743;A;SANTANDER;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
2744;C;SVANBERG;Bologna;1;0;0;0;0;0;0;0;0;0;0;0;0
2745;D;CALABRESI;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
2746;D;DIJKS;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
2750;A;MRAZ;Spezia;1;6;6;0;0;0;0;0;0;0;0;0;0
2758;D;GUNTER;Verona;1;5;5;0;0;0;0;0;0;0;0;0;0
2759;D;CRISCITO;Genoa;1;5;4,5;0;0;0;0;0;0;0;1;0;0
2762;A;KOUAME';Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2764;A;MARTINEZ L.;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
2766;C;ZANIOLO;Roma;1;5;4;0;0;0;0;0;0;0;0;1;0
2769;D;MAGNANI;Verona;1;6;6;0;0;0;0;0;0;0;0;0;0
2775;C;RUIZ;Napoli;1;5,5;5;0;0;0;0;0;0;0;1;0;0
2778;C;STULAC;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
2781;P;FUZATO;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
2784;D;COLLEY;Sampdoria;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
2788;D;BREMER;Torino;1;6,5;6;0;0;0;0;0;0;0;1;0;0
2790;P;ROSATI;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2792;P;MUSSO;Atalanta;1;6;4,5;0;1;0;0;0;0;0;1;0;0
2793;D;OPOKU;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
2814;P;PROVEDEL;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0
2815;P;TERRACCIANO;Fiorentina;1;6;3;0;3;0;0;0;0;0;0;0;0
2816;D;DI LORENZO;Napoli;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
2818;C;BENNACER;Milan;1;6;6;0;0;0;0;0;0;0;0;0;0
2819;A;CAPUTO;Sassuolo;1;6,5;7,5;0;0;0;0;0;0;1;0;0;0
2825;C;BOURABIA;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
2826;A;PUSSETTO;Udinese;1;6;6;0;0;0;0;0;0;0;0;0;0
2832;A;BOGA;Sassuolo;1;6;7;0;0;0;0;0;0;1;0;0;0
2833;C;KULUSEVSKI;Juventus;1;5,5;5;0;0;0;0;0;0;0;1;0;0
2838;D;IMPERIALE;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
2839;C;SOTTIL;Fiorentina;1;0;0;0;0;0;0;0;0;0;0;0;0
2841;A;VLAHOVIC;Fiorentina;1;5;5;0;0;0;0;0;0;0;0;0;0
2845;P;CONTINI;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
2848;C;FRATTESI;Sassuolo;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
2855;C;VIEIRA;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
2857;C;TRAORE' HJ.;Sassuolo;1;7;10;1;0;0;0;0;0;0;0;0;0
2860;D;MALCUIT;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
