Quotazioni Fantacalcio Stagione 2022 23;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
572;P;Por;Meret;Napoli;19;14;5;19;14;5;74;74
2814;P;Por;Provedel;Lazio;16;7;9;16;7;9;63;63
2211;P;Por;Silvestri;Udinese;15;10;5;15;10;5;34;34
4964;P;Por;Vicario;Empoli;15;9;6;15;9;6;37;37
453;P;Por;Szczesny;Juventus;14;16;-2;14;16;-2;62;62
2134;P;Por;Falcone;Lecce;14;5;9;14;5;9;27;27
4270;P;Por;Rui Patricio;Roma;14;14;0;14;14;0;60;60
5830;P;Por;Onana;Inter;14;1;13;14;1;13;57;57
2170;P;Por;Milinkovic-Savic V.;Torino;13;1;12;13;1;12;38;38
2792;P;Por;Musso;Atalanta;13;13;0;13;13;0;46;46
4431;P;Por;Carnesecchi;Cremonese;12;1;11;12;1;11;15;15
159;P;Por;Sepe;Salernitana;11;8;3;11;8;3;7;7
4312;P;Por;Maignan;Milan;11;18;-7;11;18;-7;60;60
4957;P;Por;Montipo';Verona;11;11;0;11;11;0;18;18
5876;P;Por;Di Gregorio;Monza;11;1;10;11;1;10;32;32
509;P;Por;Consigli;Sassuolo;10;11;-1;10;11;-1;24;24
761;P;Por;Audero;Sampdoria;10;10;0;10;10;0;12;12
133;P;Por;Skorupski;Bologna;9;11;-2;9;11;-2;20;20
2815;P;Por;Terracciano;Fiorentina;9;1;8;9;1;8;38;38
160;P;Por;Tatarusanu;Milan;8;1;7;8;1;7;4;4
250;P;Por;Handanovic;Inter;8;16;-8;8;16;-8;4;4
1917;P;Por;Dragowski;Spezia;8;7;1;8;7;1;18;18
218;P;Por;Perin;Juventus;7;1;6;7;1;6;4;4
4;P;Por;Sportiello;Atalanta;6;1;5;6;1;5;1;1
5005;P;Por;Zoet;Spezia;5;1;4;5;1;4;1;1
6120;P;Por;Ochoa;Salernitana;3;2;1;3;2;1;11;11
510;P;Por;Pegolo;Sassuolo;2;1;1;2;1;1;1;1
610;P;Por;Gollini;Napoli;2;12;-10;2;12;-10;1;1
41;P;Por;Mirante;Milan;1;1;0;1;1;0;1;1
42;P;Por;Sarr M.;Cremonese;1;1;0;1;1;0;1;1
217;P;Por;Lamanna;Monza;1;1;0;1;1;0;1;1
220;P;Por;Ujkani;Empoli;1;1;0;1;1;0;1;1
316;P;Por;Berisha;Torino;1;11;-10;1;11;-10;1;1
318;P;Por;Marchetti;Spezia;1;1;0;1;1;0;1;1
511;P;Por;Perilli;Verona;1;1;0;1;1;0;1;1
543;P;Por;Padelli;Udinese;1;1;0;1;1;0;1;1
673;P;Por;Perisan;Empoli;1;1;0;1;1;0;1;1
799;P;Por;Bardi;Bologna;1;1;0;1;1;0;1;1
1889;P;Por;Cordaz;Inter;1;1;0;1;1;0;1;1
1930;P;Por;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
1947;P;Por;Fiorillo;Salernitana;1;1;0;1;1;0;1;1
2178;P;Por;Cragno;Monza;1;11;-10;1;11;-10;1;1
2179;P;Por;Sirigu;Fiorentina;1;1;0;1;1;0;1;1
2294;P;Por;Cerofolini;Fiorentina;1;1;0;1;1;0;1;1
2297;P;Por;Rossi F.;Atalanta;1;1;0;1;1;0;1;1
2722;P;Por;Ravaglia F.;Bologna;1;1;0;1;1;0;1;1
4351;P;Por;Brancolini;Lecce;1;1;0;1;1;0;1;1
4468;P;Por;Bleve;Lecce;1;1;0;1;1;0;1;1
4491;P;Por;Berardi A.;Verona;1;1;0;1;1;0;1;1
4518;P;Por;Russo A.;Sassuolo;1;1;0;1;1;0;1;1
4525;P;Por;Gemello;Torino;1;1;0;1;1;0;1;1
4977;P;Por;Ravaglia;Sampdoria;1;1;0;1;1;0;1;1
5304;P;Por;Boer;Roma;1;1;0;1;1;0;1;1
5502;P;Por;Adamonis;Lazio;1;1;0;1;1;0;1;1
5518;P;Por;Marfella;Napoli;1;1;0;1;1;0;1;1
5528;P;Por;Zovko;Spezia;1;1;0;1;1;0;1;1
5707;P;Por;Piana;Udinese;1;1;0;1;1;0;1;1
5822;P;Por;Bagnolini;Bologna;1;1;0;1;1;0;1;1
5832;P;Por;Luis Maximiano;Lazio;1;12;-11;1;12;-11;1;1
5841;P;Por;Svilar;Roma;1;1;0;1;1;0;1;1
5853;P;Por;Sorrentino A.;Monza;1;1;0;1;1;0;1;1
5887;P;Por;Ciezkowski;Cremonese;1;1;0;1;1;0;1;1
6029;P;Por;Saro;Cremonese;1;1;0;1;1;0;1;1
6125;P;Por;Vasquez D.;Milan;1;1;0;1;1;0;1;1
6135;P;Por;Turk;Sampdoria;1;1;0;1;1;0;1;1
254;D;"Ds;Dc;E";Dimarco;Inter;19;8;11;19;9;10;47;50
4245;D;Dc;Smalling;Roma;19;14;5;19;14;5;40;41
5877;D;"Ds;E";Carlos Augusto;Monza;19;8;11;19;8;11;37;37
5851;D;"Ds;E";Doig;Verona;18;6;12;18;6;12;45;45
6066;D;"Dd;Dc";Posch;Bologna;18;8;10;18;9;9;33;34
5892;D;Dc;Kim;Napoli;16;13;3;16;13;3;43;44
2816;D;"Dd;E";Di Lorenzo;Napoli;15;15;0;15;15;0;48;48
