Quotazioni Fantacalcio Stagione 2022 23;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
572;P;Por;Meret;Napoli;18;14;4;18;14;4;70;70
453;P;Por;Szczesny;Juventus;16;16;0;16;16;0;70;70
2814;P;Por;Provedel;Lazio;16;7;9;16;7;9;50;50
4964;P;Por;Vicario;Empoli;16;9;7;16;9;7;30;30
2134;P;Por;Falcone;Lecce;15;5;10;15;5;10;13;13
2211;P;Por;Silvestri;Udinese;14;10;4;14;10;4;35;35
159;P;Por;Sepe;Salernitana;13;8;5;13;8;5;24;24
4270;P;Por;Rui Patricio;Roma;13;14;-1;13;14;-1;47;47
160;P;Por;Tatarusanu;Milan;12;1;11;12;1;11;6;6
2170;P;Por;Milinkovic-Savic V.;Torino;12;1;11;12;1;11;27;27
2792;P;Por;Musso;Atalanta;12;13;-1;12;13;-1;37;37
4312;P;Por;Maignan;Milan;12;18;-6;12;18;-6;71;71
5830;P;Por;Onana;Inter;12;1;11;12;1;11;63;63
761;P;Por;Audero;Sampdoria;11;10;1;11;10;1;15;15
5876;P;Por;Di Gregorio;Monza;11;1;10;11;1;10;23;23
4431;P;Por;Carnesecchi;Cremonese;10;1;9;10;1;9;9;9
4957;P;Por;Montipo';Verona;10;11;-1;10;11;-1;20;20
4;P;Por;Sportiello;Atalanta;9;1;8;9;1;8;10;10
509;P;Por;Consigli;Sassuolo;9;11;-2;9;11;-2;27;27
1917;P;Por;Dragowski;Spezia;9;7;2;9;7;2;15;15
2815;P;Por;Terracciano;Fiorentina;9;1;8;9;1;8;34;34
133;P;Por;Skorupski;Bologna;8;11;-3;8;11;-3;20;20
218;P;Por;Perin;Juventus;8;1;7;8;1;7;10;10
250;P;Por;Handanovic;Inter;8;16;-8;8;16;-8;5;5
5005;P;Por;Zoet;Spezia;5;1;4;5;1;4;1;1
610;P;Por;Gollini;Fiorentina;3;12;-9;3;12;-9;7;7
1843;P;Por;Radu I.;Cremonese;3;5;-2;3;5;-2;10;10
6120;P;Por;Ochoa;Salernitana;3;2;1;3;2;1;6;6
316;P;Por;Berisha;Torino;2;11;-9;2;11;-9;5;5
2178;P;Por;Cragno;Monza;2;11;-9;2;11;-9;5;5
5832;P;Por;Luis Maximiano;Lazio;2;12;-10;2;12;-10;1;1
41;P;Por;Mirante;Milan;1;1;0;1;1;0;1;1
42;P;Por;Sarr M.;Cremonese;1;1;0;1;1;0;1;1
217;P;Por;Lamanna;Monza;1;1;0;1;1;0;1;1
220;P;Por;Ujkani;Empoli;1;1;0;1;1;0;1;1
510;P;Por;Pegolo;Sassuolo;1;1;0;1;1;0;1;1
511;P;Por;Perilli;Verona;1;1;0;1;1;0;1;1
543;P;Por;Padelli;Udinese;1;1;0;1;1;0;1;1
673;P;Por;Perisan;Empoli;1;1;0;1;1;0;1;1
799;P;Por;Bardi;Bologna;1;1;0;1;1;0;1;1
1889;P;Por;Cordaz;Inter;1;1;0;1;1;0;1;1
1930;P;Por;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
1947;P;Por;Fiorillo;Salernitana;1;1;0;1;1;0;1;1
2179;P;Por;Sirigu;Napoli;1;1;0;1;1;0;1;1
2294;P;Por;Cerofolini;Fiorentina;1;1;0;1;1;0;1;1
2297;P;Por;Rossi F.;Atalanta;1;1;0;1;1;0;1;1
4351;P;Por;Brancolini;Lecce;1;1;0;1;1;0;1;1
4468;P;Por;Bleve;Lecce;1;1;0;1;1;0;1;1
4491;P;Por;Berardi A.;Verona;1;1;0;1;1;0;1;1
4518;P;Por;Russo A.;Sassuolo;1;1;0;1;1;0;1;1
4525;P;Por;Gemello;Torino;1;1;0;1;1;0;1;1
4977;P;Por;Ravaglia;Sampdoria;1;1;0;1;1;0;1;1
5304;P;Por;Boer;Roma;1;1;0;1;1;0;1;1
5502;P;Por;Adamonis;Lazio;1;1;0;1;1;0;1;1
5518;P;Por;Marfella;Napoli;1;1;0;1;1;0;1;1
5528;P;Por;Zovko;Spezia;1;1;0;1;1;0;1;1
5707;P;Por;Piana;Udinese;1;1;0;1;1;0;1;1
